Company Name,Industry,English Required ,Bilingual/ Spanish speaking ,Location,Typical Shift,Weekend Shifts,Notes
Gotham Greens,Green House,Unknown ,FALSE,"720 E 111th Street, Chicago, IL 60628","Morning, Afternoon, Night",TRUE,"Located far south side - urban farming company
$12.25/hr full time. Shifts are between 6am-8am start and 2:30-4:30pm finish
Full-time work - operate 7 days per week
Greenhouse job: Arranging, preparing, seeding, harvesting plants
Packing House job: packing and labeling
Low English level required
Application process: send resume by email to Alexis, she will call individual directly unless you mention that English is an issue."
Gourmet Gorilla,Food Manfacturing,Intermediate,FALSE,"1200 W Cermak Road, Chicago , IL 60608","Morning, Afternoon, Night",TRUE,"Email resume and Kevin will email to arrange interview time. If they give job offer the client can often start the next day.
Full--time during the day; $12/hr"
Harvard Maintenance,Janitorial ,Basic ,TRUE,"135 S LaSalle St #2650, Chicago, IL 60603","Afternoon, Night",FALSE,"Cleaning company for offices downtown. Contact is Edson Alvarez [ealvarez@harvardmaint.com or (312)262-6452] . Apply online and send clients resume to Edson. Client will need to complete online paperwork and send Edson copies of their SSC, State-ID, and Permenant Residency Card."
Hilton O'hare,Hospitality,Intermediate,FALSE,"10000 W O'Hare Ave, Chicago, IL 60666","Morning, Afternoon",TRUE,Complete online application and contact Anna Hopovic for interview.
House of Blues,Food Service ,Basic ,FALSE,"333 N Dearborn, Chicago, IL 60610","Afternoon, Night",TRUE,"Email Imelda Hererra to inquire about openings and to schedule an interview, Before interview complete the online application. Bring resume and other employment documents to the interview, prepare clients to note that they have very open availability. Interview is basic. Afterwards background check/I9 work is done and client will be called back for onboarding paperwork. Start date is usually 2-3 days after onboarding."
Integrety Paint and Design ,Painting,Intermediate,TRUE,Unknown ,"Morning, Afternoon",FALSE,"Painting company. Sharon Noe is HR contact. Contact: (312)602-2773 sharon@integritypd.com. $16-$20/ hr depending on experience. Employee needs car. Chicago land: Far North, West, and South. Location varies on job. No benfits. employees need to have full mobility."
Koch Foods,Meat Processing and Packing,Basic ,FALSE,"4404 West Berteau Avenue, Chicago, IL 60641","Morning, Afternoon, Night",TRUE,"Malene Salamanca is HR contact. Phone: (773) 286-4343 ext: 7300
Email: marlene.salamanca@kochfoods.com. Complete application and email to Marlene. Good option for limited english speakers. Chicken processing plant. $14/hr. Benefits offered."
"Lincoln Provision, INC.",Meat Processing and Packing,Intermediate,TRUE,"824 W 38th Pl, Chicago, IL 60609","Morning, Afternoon",TRUE,Butcher and general labor positions. Butcher $15 w/t experience or $14.50 w/o. General $14. Union so raises will increase after 90 days. Benefits w/t a pension.
Lure Fish Bar,Food Service ,Basic ,FALSE,"616 N Rush St, Chicago, Il 60611","Afternoon, Night",TRUE,Contact John Comerford: jcomerford@lurefishbar.com  (630)699-6851. Dishwashing positions available. Starting rate is $15.50. Limited english required if language is on staff. Full and part time positions.
Mirrior Mirror Salon,Beauty ,Intermediate,FALSE,807 W Randolph St,"Morning, Afternoon",TRUE,"Contact is Stacy. (312)217-7795, evielula@gmail.com. Hire for their hair, waxing, nail, and massage services. Someone with experience perfered, but can train as well. The hours are flexible but full-time is a possibility.  $20/hr plus tips. No benefits offered. No high school diploma required."
Misricordia ,Heath Care ,Intermediate,FALSE,"2001 W Devon Ave, Chicago, IL 60659","Morning, Afternoon, Night",TRUE,Direct Support Proffessional positions (DSP) HS/GED needed.  Decent english. 5w paid training. Needs to be available on weekends. $16-18 .  Has housekeeping and kitchen aid positions. Limited english and education required (14.25-15). Full benefits. International degrees count if can be varified. Have client apply online and send name to Kim Huwe (kimberlyh@misericordia.com)
Nemera,Manafacturing,Intermediate,TRUE,"600 Deerfield Pkwy, Buffalo Grove, IL 60089","Morning, Afternoon, Night",TRUE,"Have the client email or text Matt Skierkiewicz at <matt.skierkiewicz@randstadusa.com>. Contract to hire position after 600 hrs of work.  Entry level positions are mainly machine operator/ packer positions. CLient will be packing medical supplies as they come off the machine line. Requirments: HS diploma/ GED, vision test (need to see .7mm vission). Two days on/ two days off schedule. Must be able to lift 15-20 ilbs. $14/hr for day shift $15/ hr for night shift. Increases after hired. Benifits after hired. Some offered during contract."
Pennisula Hotel,Hospitality,Intermediate,FALSE,"108 E Superior St, Chicago, IL 60611","Morning, Afternoon ",TRUE,Contact is Aileen Hilario. Fill out online application and email name of applicant to Aileen for review. Peninsula will contact to schedule an interview time.
Prolist 123,Insulation/ Carpantry ,Basic ,FALSE,"7080 McCormick Blvd, Lincolnwood, IL 60712","Morning, Afternoon",FALSE,"$15/hr  with no experience, will increase as experience increases. Baised of performence not time. At least 4 day/ week.  1099 with no benefits. Candidates needs to be 5'6/7"" of shorter and small to navigatwe small spaces."
Rush Medical Group,Heath Care ,Intermediate,FALSE,"1620 W Harrison St, Chicago, Il 60612 ; 520 S Maple Ave, Oak Park, Il 60304 ; 2020 Ogden Ave, Aurora, IL 60504","Morning, Afternoon, Night",TRUE,"Have client apply to position online and sent resume to Kevine Irvine (Kevin_Irvine@rush.edu), Chanel Smith (Chanel_N_Smith@rush.edu), and Michael Jones (Michael_A_Jones@rush.edu). They are apart of the HR team and will be able to flag the clients application. Have community partnerships that they could potential pass applicant off to if they do not have a position for them. "
S & C,Manafacturing/ Engineering,Intermediate,FALSE,"6601 N Ridge Blvd, Chicago, IL 60626","Morning, Afternoon, Night",TRUE,"Talant aquisition manger is Rentia Goodwin ( Renita.Goodwin@sandc.com ). THey have multiple manafacturing positions, check website. Also have internships and a co-op program. Pay starts at $15/hr but changes based on experience and positions. They offer benfits."
Scrub Inc,Janitorial ,None,TRUE,"10000 W O'Hare Ave, Chicago, IL 60666","Morning, Afternoon, Night",TRUE,Go to Scrub office on Elston and Milwaukee to apply in person. After initial application and interview go to O'Hare for badging and finger printing (can take up to 2-3 weeks).Pick up badge and attend orientation and training at O'Hare before starting.
Serendipity,Home Health Care,Intermediate,FALSE,"3601 W Devon Ave, Chicago, IL 60659","Morning, Afternoon",TRUE,"Fill out application and turn it in to Jux at office with other required documents (High school diploma, TB test, Physical, SSC, and proof of ID)"
South Chicago Packing,Meat Processing and Packing,Intermediate,FALSE,"945 W 38th St., Chicago, IL 60609","Morning, Afternoon, Night",TRUE,Apply online and email Nikole Maclan to arrange interview and warehouse tour. Client will hear back shortly about scheduling a time for the onboarding process.
Starbucks,Food Service ,Advance,FALSE,"100 S Wabash, Chicago, IL 60603","Morning, Afternoon, Night",TRUE,"Multiple locations downtown. Email Shawn Gancarz the client's name and brief overview of availability so he can best match them to a store in his district. Submit online application and interview, wait to hear back from store manager."
The W at City Center,Hospitality,Intermediate,FALSE,"172 Adams St, Chicago, IL 60603","Morning, Afternoon",TRUE,
Tops & Bottoms ,Retail ,Intermediate,FALSE,"3960 W Madison St, Chicago, IL 60624","Morning, Afternoon",TRUE,"Mashood is manager. Contact at mashhood@topsandbottomsusa.com. Tel  : 773-722 5661 Ext 102. Hire for customeer service positions, back room positions, and wharhouse positions. Ideal candidaite for back room and wharehouse positions are male 18-40 y/o. Start at $13.50 per person. Will go up from there with experience. Check employer intake for more details"
Webb Masonary Restoration,Carpantry/ Masonary,Basic ,FALSE,"419 E 4th Street
New Albany, IN 47150","Morning, Afternoon",FALSE,Employees meet on construction site in Chicagoland. Connact Dan on one of #'s. (773)9897389 (Office)  (812)6975851 (In Cell) (773)297-9021 (Chicago Cell)   Email is webbtuc@sbcglobal.net
World Wide Flight Service,Janitorial & Customer Service ,Intermediate,FALSE,"10000 W O'Hare Ave, Chicago, IL 60666","Morning, Afternoon, Night",TRUE,"Passanger Service Position- Working in the international terminal aiding passangers checking into their flight. Looking for Spanish, Viet, Mandarine, Polish, French, Arabic, Farsi, Turkish... Need a drivers liscense and to be able to lift luggage. $14.10 per hour.  Hiring P/t (dental/vision) and F/T (Med/dent/life/vision). Apply online, schedule meeting with Patrice, interview with HR manager, then badging and training."
